id_solicitante,inadimplente
20001,0
20002,1
20003,1
20004,0
20005,0
20006,0
20007,0
20008,0
20009,1
20010,0
20011,1
20012,0
20013,1
20014,0
20015,1
20016,1
20017,0
20018,1
20019,1
20020,0
20021,0
20022,1
20023,1
20024,1
20025,1
20026,0
20027,0
20028,0
20029,0
20030,1
20031,0
20032,1
20033,1
20034,0
20035,0
20036,1
20037,0
20038,0
20039,1
20040,0
20041,0
20042,1
20043,1
20044,0
20045,1
20046,0
20047,1
20048,1
20049,0
20050,1
20051,1
20052,1
20053,0
20054,0
20055,0
20056,0
20057,0
20058,1
20059,0
20060,1
20061,1
20062,0
20063,0
20064,1
20065,1
20066,0
20067,1
20068,0
20069,1
20070,0
20071,0
20072,0
20073,0
20074,0
20075,1
20076,1
20077,1
20078,0
20079,1
20080,0
20081,1
20082,1
20083,1
20084,1
20085,1
20086,1
20087,0
20088,1
20089,0
20090,0
20091,0
20092,1
20093,0
20094,0
20095,1
20096,1
20097,0
20098,0
20099,1
20100,0
20101,0
20102,1
20103,1
20104,1
20105,1
20106,0
20107,1
20108,0
20109,1
20110,0
20111,1
20112,0
20113,1
20114,1
20115,1
20116,1
20117,1
20118,1
20119,0
20120,0
20121,1
20122,1
20123,0
20124,1
20125,0
20126,1
20127,0
20128,0
20129,1
20130,0
20131,1
20132,0
20133,0
20134,1
20135,1
20136,0
20137,0
20138,0
20139,1
20140,1
20141,0
20142,1
20143,1
20144,1
20145,1
20146,1
20147,0
20148,0
20149,1
20150,1
20151,1
20152,0
20153,1
20154,1
20155,1
20156,1
20157,0
20158,0
20159,0
20160,0
20161,1
20162,0
20163,1
20164,1
20165,1
20166,0
20167,0
20168,1
20169,1
20170,1
20171,0
20172,1
20173,1
20174,1
20175,0
20176,1
20177,1
20178,1
20179,1
20180,1
20181,1
20182,1
20183,0
20184,1
20185,1
20186,1
20187,1
20188,0
20189,0
20190,1
20191,0
20192,0
20193,0
20194,0
20195,1
20196,1
20197,1
20198,1
20199,0
20200,1
20201,0
20202,0
20203,0
20204,1
20205,1
20206,0
20207,0
20208,1
20209,1
20210,1
20211,1
20212,1
20213,1
20214,1
20215,0
20216,1
20217,0
20218,1
20219,1
20220,0
20221,0
20222,1
20223,1
20224,1
20225,0
20226,1
20227,1
20228,0
20229,1
20230,1
20231,1
20232,1
20233,0
20234,0
20235,0
20236,1
20237,1
20238,0
20239,1
20240,0
20241,0
20242,1
20243,0
20244,1
20245,0
20246,1
20247,0
20248,1
20249,1
20250,0
20251,1
20252,1
20253,0
20254,1
20255,0
20256,1
20257,1
20258,1
20259,1
20260,1
20261,0
20262,1
20263,1
20264,0
20265,0
20266,1
20267,0
20268,1
20269,0
20270,1
20271,1
20272,1
20273,1
20274,1
20275,0
20276,1
20277,0
20278,1
20279,0
20280,1
20281,1
20282,0
20283,0
20284,1
20285,1
20286,1
20287,1
20288,1
20289,1
20290,0
20291,0
20292,0
20293,1
20294,0
20295,1
20296,0
20297,0
20298,1
20299,1
20300,1
20301,0
20302,1
20303,1
20304,1
20305,0
20306,1
20307,0
20308,0
20309,1
20310,0
20311,1
20312,0
20313,1
20314,0
20315,0
20316,0
20317,0
20318,1
20319,0
20320,1
20321,1
20322,0
20323,0
20324,0
20325,1
20326,0
20327,0
20328,1
20329,1
20330,0
20331,0
20332,1
20333,1
20334,0
20335,1
20336,0
20337,1
20338,0
20339,1
20340,1
20341,0
20342,0
20343,0
20344,0
20345,1
20346,1
20347,1
20348,1
20349,1
20350,1
20351,0
20352,1
20353,1
20354,0
20355,1
20356,0
20357,1
20358,0
20359,1
20360,1
20361,0
20362,0
20363,0
20364,0
20365,1
20366,1
20367,1
20368,0
20369,0
20370,1
20371,0
20372,1
20373,1
20374,1
20375,1
20376,0
20377,1
20378,0
20379,0
20380,1
20381,0
20382,1
20383,0
20384,1
20385,1
20386,1
20387,1
20388,0
20389,0
20390,0
20391,0
20392,0
20393,1
20394,1
20395,0
20396,1
20397,0
20398,0
20399,0
20400,1
20401,1
20402,0
20403,0
20404,0
20405,1
20406,1
20407,0
20408,0
20409,1
20410,1
20411,1
20412,0
20413,0
20414,1
20415,0
20416,0
20417,1
20418,0
20419,0
20420,0
20421,1
20422,1
20423,0
20424,1
20425,0
20426,1
20427,0
20428,1
20429,0
20430,1
20431,1
20432,0
20433,1
20434,1
20435,0
20436,1
20437,0
20438,1
20439,0
20440,1
20441,0
20442,0
20443,0
20444,0
20445,0
20446,0
20447,0
20448,0
20449,0
20450,1
20451,0
20452,0
20453,0
20454,1
20455,0
20456,0
20457,1
20458,0
20459,0
20460,0
20461,0
20462,1
20463,0
20464,1
20465,1
20466,0
20467,0
20468,1
20469,1
20470,1
20471,0
20472,1
20473,0
20474,1
20475,0
20476,0
20477,0
20478,0
20479,1
20480,1
20481,0
20482,1
20483,1
20484,0
20485,1
20486,0
20487,1
20488,0
20489,1
20490,0
20491,1
20492,1
20493,0
20494,0
20495,0
20496,1
20497,1
20498,1
20499,1
20500,0
20501,1
20502,1
20503,1
20504,1
20505,0
20506,0
20507,1
20508,1
20509,0
20510,1
20511,0
20512,1
20513,1
20514,0
20515,0
20516,1
20517,1
20518,0
20519,0
20520,0
20521,1
20522,0
20523,0
20524,0
20525,0
20526,0
20527,0
20528,1
20529,1
20530,0
20531,1
20532,0
20533,1
20534,0
20535,1
20536,1
20537,0
20538,1
20539,1
20540,1
20541,1
20542,0
20543,1
20544,0
20545,0
20546,1
20547,1
20548,0
20549,1
20550,0
20551,1
20552,1
20553,0
20554,1
20555,0
20556,1
20557,0
20558,0
20559,0
20560,1
20561,1
20562,0
20563,0
20564,0
20565,0
20566,0
20567,1
20568,1
20569,1
20570,1
20571,0
20572,0
20573,0
20574,0
20575,0
20576,1
20577,1
20578,0
20579,0
20580,0
20581,0
20582,1
20583,0
20584,0
20585,1
20586,1
20587,1
20588,1
20589,1
20590,1
20591,0
20592,0
20593,0
20594,1
20595,1
20596,0
20597,1
20598,1
20599,1
20600,1
20601,0
20602,1
20603,0
20604,1
20605,1
20606,1
20607,0
20608,0
20609,0
20610,1
20611,1
20612,1
20613,0
20614,1
20615,0
20616,0
20617,0
20618,1
20619,1
20620,0
20621,1
20622,0
20623,0
20624,0
20625,1
20626,0
20627,1
20628,1
20629,0
20630,1
20631,1
20632,0
20633,0
20634,1
20635,0
20636,0
20637,1
20638,0
20639,1
20640,1
20641,0
20642,1
20643,0
20644,1
20645,0
20646,1
20647,1
20648,0
20649,1
20650,0
20651,0
20652,1
20653,0
20654,0
20655,1
20656,1
20657,1
20658,1
20659,0
20660,0
20661,1
20662,0
20663,0
20664,1
20665,0
20666,0
20667,0
20668,1
20669,0
20670,1
20671,1
20672,1
20673,0
20674,1
20675,0
20676,1
20677,1
20678,1
20679,1
20680,1
20681,0
20682,1
20683,0
20684,1
20685,1
20686,1
20687,0
20688,1
20689,0
20690,0
20691,0
20692,1
20693,1
20694,0
20695,1
20696,1
20697,0
20698,0
20699,0
20700,1
20701,1
20702,0
20703,0
20704,1
20705,0
20706,0
20707,0
20708,1
20709,1
20710,0
20711,1
20712,1
20713,0
20714,1
20715,1
20716,0
20717,1
20718,0
20719,1
20720,1
20721,0
20722,1
20723,1
20724,0
20725,1
20726,0
20727,1
20728,1
20729,1
20730,0
20731,0
20732,1
20733,0
20734,1
20735,0
20736,0
20737,0
20738,0
20739,0
20740,0
20741,1
20742,1
20743,0
20744,0
20745,1
20746,1
20747,1
20748,0
20749,0
20750,1
20751,1
20752,0
20753,1
20754,1
20755,0
20756,0
20757,0
20758,1
20759,1
20760,0
20761,0
20762,1
20763,0
20764,1
20765,0
20766,1
20767,0
20768,0
20769,1
20770,0
20771,0
20772,1
20773,0
20774,1
20775,1
20776,1
20777,1
20778,1
20779,0
20780,1
20781,0
20782,0
20783,0
20784,0
20785,1
20786,1
20787,1
20788,1
20789,0
20790,0
20791,1
20792,1
20793,0
20794,1
20795,0
20796,0
20797,0
20798,0
20799,0
20800,1
20801,0
20802,0
20803,1
20804,1
20805,1
20806,0
20807,1
20808,1
20809,1
20810,0
20811,0
20812,1
20813,0
20814,0
20815,1
20816,0
20817,1
20818,1
20819,0
20820,1
20821,1
20822,0
20823,1
20824,0
20825,1
20826,1
20827,1
20828,0
20829,0
20830,1
20831,1
20832,0
20833,0
20834,1
20835,1
20836,0
20837,1
20838,1
20839,1
20840,1
20841,0
20842,1
20843,1
20844,1
20845,0
20846,0
20847,1
20848,1
20849,1
20850,0
20851,1
20852,0
20853,1
20854,1
20855,1
20856,1
20857,0
20858,0
20859,0
20860,0
20861,1
20862,0
20863,1
20864,0
20865,0
20866,1
20867,1
20868,1
20869,0
20870,1
20871,1
20872,0
20873,1
20874,1
20875,0
20876,1
20877,1
20878,0
20879,1
20880,1
20881,1
20882,0
20883,0
20884,0
20885,0
20886,0
20887,1
20888,0
20889,1
20890,0
20891,0
20892,1
20893,1
20894,0
20895,1
20896,0
20897,0
20898,1
20899,0
20900,0
20901,0
20902,0
20903,1
20904,0
20905,1
20906,0
20907,1
20908,1
20909,1
20910,1
20911,0
20912,0
20913,0
20914,1
20915,1
20916,1
20917,0
20918,1
20919,0
20920,1
20921,0
20922,1
20923,1
20924,1
20925,1
20926,0
20927,0
20928,1
20929,1
20930,1
20931,1
20932,0
20933,1
20934,0
20935,0
20936,0
20937,0
20938,1
20939,0
20940,0
20941,1
20942,0
20943,0
20944,1
20945,0
20946,1
20947,0
20948,1
20949,0
20950,1
20951,0
20952,1
20953,0
20954,1
20955,1
20956,0
20957,0
20958,1
20959,1
20960,1
20961,0
20962,0
20963,0
20964,1
20965,1
20966,0
20967,0
20968,1
20969,1
20970,0
20971,0
20972,0
20973,1
20974,0
20975,0
20976,0
20977,1
20978,1
20979,0
20980,1
20981,1
20982,1
20983,0
20984,1
20985,1
20986,1
20987,0
20988,1
20989,0
20990,1
20991,1
20992,0
20993,0
20994,1
20995,0
20996,0
20997,0
20998,1
20999,1
21000,1
21001,1
21002,1
21003,1
21004,0
21005,0
21006,1
21007,1
21008,1
21009,0
21010,1
21011,1
21012,1
21013,1
21014,0
21015,1
21016,1
21017,1
21018,1
21019,0
21020,1
21021,0
21022,1
21023,1
21024,0
21025,1
21026,0
21027,0
21028,0
21029,0
21030,0
21031,0
21032,1
21033,1
21034,1
21035,0
21036,1
21037,1
21038,0
21039,1
21040,0
21041,0
21042,1
21043,1
21044,0
21045,0
21046,1
21047,1
21048,0
21049,0
21050,1
21051,0
21052,0
21053,1
21054,0
21055,1
21056,0
21057,1
21058,1
21059,1
21060,0
21061,0
21062,0
21063,0
21064,0
21065,1
21066,0
21067,0
21068,1
21069,1
21070,1
21071,1
21072,1
21073,0
21074,1
21075,0
21076,0
21077,1
21078,0
21079,1
21080,1
21081,0
21082,1
21083,1
21084,0
21085,0
21086,0
21087,0
21088,1
21089,0
21090,1
21091,0
21092,0
21093,1
21094,0
21095,1
21096,1
21097,1
21098,1
21099,1
21100,1
21101,0
21102,0
21103,1
21104,1
21105,0
21106,0
21107,1
21108,1
21109,1
21110,1
21111,0
21112,1
21113,0
21114,1
21115,1
21116,1
21117,0
21118,0
21119,1
21120,1
21121,0
21122,0
21123,1
21124,0
21125,1
21126,0
21127,0
21128,1
21129,1
21130,1
21131,0
21132,0
21133,1
21134,0
21135,0
21136,1
21137,1
21138,0
21139,1
21140,1
21141,1
21142,0
21143,0
21144,0
21145,0
21146,1
21147,1
21148,1
21149,0
21150,0
21151,0
21152,0
21153,0
21154,1
21155,0
21156,1
21157,0
21158,1
21159,1
21160,1
21161,1
21162,0
21163,0
21164,0
21165,1
21166,1
21167,0
21168,1
21169,0
21170,0
21171,0
21172,0
21173,0
21174,0
21175,1
21176,1
21177,0
21178,0
21179,0
21180,1
21181,0
21182,0
21183,1
21184,1
21185,0
21186,1
21187,0
21188,0
21189,0
21190,0
21191,1
21192,0
21193,0
21194,0
21195,0
21196,1
21197,0
21198,0
21199,0
21200,1
21201,0
21202,0
21203,1
21204,0
21205,1
21206,1
21207,1
21208,1
21209,0
21210,0
21211,1
21212,1
21213,1
21214,1
21215,1
21216,0
21217,0
21218,0
21219,1
21220,0
21221,1
21222,0
21223,0
21224,0
21225,0
21226,1
21227,1
21228,1
21229,0
21230,1
21231,1
21232,1
21233,1
21234,1
21235,1
21236,1
21237,0
21238,1
21239,1
21240,1
21241,0
21242,0
21243,1
21244,1
21245,1
21246,1
21247,1
21248,1
21249,0
21250,1
21251,1
21252,1
21253,0
21254,1
21255,0
21256,1
21257,1
21258,0
21259,1
21260,1
21261,1
21262,1
21263,1
21264,1
21265,0
21266,0
21267,1
21268,1
21269,0
21270,1
21271,0
21272,1
21273,0
21274,0
21275,0
21276,1
21277,1
21278,1
21279,0
21280,0
21281,1
21282,0
21283,0
21284,1
21285,0
21286,0
21287,1
21288,0
21289,0
21290,1
21291,1
21292,1
21293,0
21294,0
21295,0
21296,1
21297,1
21298,1
21299,0
21300,1
21301,1
21302,1
21303,0
21304,0
21305,1
21306,1
21307,0
21308,1
21309,1
21310,0
21311,1
21312,0
21313,1
21314,1
21315,0
21316,1
21317,1
21318,0
21319,0
21320,1
21321,1
21322,0
21323,1
21324,0
21325,1
21326,0
21327,1
21328,0
21329,1
21330,1
21331,0
21332,1
21333,1
21334,0
21335,0
21336,1
21337,1
21338,0
21339,0
21340,1
21341,0
21342,1
21343,1
21344,0
21345,0
21346,0
21347,1
21348,0
21349,1
21350,0
21351,1
21352,1
21353,1
21354,0
21355,1
21356,0
21357,1
21358,1
21359,1
21360,1
21361,1
21362,1
21363,1
21364,1
21365,1
21366,0
21367,0
21368,1
21369,0
21370,1
21371,1
21372,1
21373,0
21374,0
21375,0
21376,0
21377,1
21378,1
21379,1
21380,0
21381,0
21382,0
21383,0
21384,1
21385,1
21386,0
21387,0
21388,0
21389,1
21390,1
21391,1
21392,1
21393,1
21394,1
21395,1
21396,0
21397,1
21398,0
21399,0
21400,1
21401,1
21402,0
21403,1
21404,1
21405,1
21406,0
21407,0
21408,0
21409,0
21410,0
21411,1
21412,1
21413,1
21414,0
21415,1
21416,0
21417,0
21418,1
21419,0
21420,1
21421,0
21422,1
21423,1
21424,0
21425,0
21426,1
21427,0
21428,1
21429,0
21430,1
21431,0
21432,0
21433,1
21434,1
21435,1
21436,0
21437,1
21438,0
21439,0
21440,1
21441,0
21442,1
21443,1
21444,1
21445,0
21446,0
21447,1
21448,1
21449,1
21450,1
21451,0
21452,1
21453,1
21454,1
21455,1
21456,1
21457,0
21458,1
21459,0
21460,1
21461,0
21462,1
21463,1
21464,0
21465,1
21466,1
21467,1
21468,0
21469,0
21470,0
21471,1
21472,0
21473,0
21474,0
21475,0
21476,0
21477,1
